scenario,scenario_id,D,noise_type,method,n_series,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,mae_mean,mae_ci_low,mae_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high
"D=1.5, white",eval_multi_D15_white,1.5,white,GRU_v2,50,0.9685456599999999,0.9593414290000001,0.9771458255,0.27792248,0.26365608199999996,0.292618575,0.42915196,0.411505863,0.4460889395,3.284694,3.1194675,3.4508533999999997,0.8059480000000001,0.79294565,0.8185904999999999,0.9591259999999999,0.95497995,0.9630661499999998
"D=1.5, white",eval_multi_D15_white,1.5,white,CatBoost,50,0.9908096599999999,0.9844913125000001,0.99593332,0.20610694000000002,0.20102461500000002,0.211205168,0.34082882000000003,0.33398198600000006,0.34762889900000005,2.096368,1.9108438,2.287803,0.8280379999999999,0.81904795,0.8371424999999999,0.9680880000000001,0.9648679499999998,0.9713221
"D=1.5, white",eval_multi_D15_white,1.5,white,LSTM,50,0.9934195600000001,0.9880085545,0.99789472,0.15307440000000003,0.14789982599999998,0.158161174,0.26481796,0.256889315,0.2725636695,1.737166,1.5918887499999999,1.8906054999999993,0.757644,0.7432415500000001,0.771341,0.9480440000000001,0.9426878500000001,0.9534160500000002
"D=1.5, white",eval_multi_D15_white,1.5,white,GRU,50,0.98354432,0.975311524,0.9911731600000001,0.13965481999999999,0.1338582545,0.145597006,0.24401952000000002,0.2348624195,0.253167701,1.460404,1.2992271000000002,1.6440259999999998,0.724726,0.7109379000000001,0.7380100999999999,0.938574,0.933258,0.94391
"D=1.5, white",eval_multi_D15_white,1.5,white,SWAB,50,0.8918928199999999,0.8711303065000001,0.9107767194999998,0.10903236,0.10480331450000001,0.11315063750000001,0.194052,0.18683348549999998,0.20096827950000004,7.621604000000001,7.0585607,8.183108849999998,,,,,,
"D=1.5, white",eval_multi_D15_white,1.5,white,MDL,50,0.94937262,0.9315590240000001,0.9664045554999999,0.08879514000000001,0.085033279,0.09235258899999998,0.16214272000000002,0.15583442599999997,0.16829683849999996,3.0757019999999993,2.6625507499999994,3.5045983499999998,,,,,,
"D=1.5, white",eval_multi_D15_white,1.5,white,GP,50,0.92857146,0.8990476600000001,0.9566667,0.05463436,0.0520065015,0.057269737999999994,0.10309954000000002,0.0982758525,0.10796419199999999,4.516788,3.7724012,5.297812400000001,,,,,,
"D=1.5, white",eval_multi_D15_white,1.5,white,BuishandLR,50,1.0,1.0,1.0,0.0087673,0.0085428135,0.008990920999999999,0.017380720000000002,0.016927783500000005,0.017813988,2.2,1.34,3.18,0.501578,0.47678100000000007,0.5262904500000001,0.858516,0.84524775,0.8712161
"D=1.5, white",eval_multi_D15_white,1.5,white,BuishandQ,50,1.0,1.0,1.0,0.0087673,0.008539991499999998,0.0089912415,0.017380720000000002,0.016932645,0.017817704000000004,2.2,1.34,3.18,0.501578,0.4767351999999999,0.52652025,0.858516,0.8449715,0.8711720500000001
"D=1.5, white",eval_multi_D15_white,1.5,white,BuishandRange,50,1.0,1.0,1.0,0.0087673,0.008542137000000002,0.008997421,0.017380720000000002,0.016943291000000003,0.017823021499999998,2.2,1.34,3.18,0.501578,0.4761897,0.5274163500000001,0.858516,0.8449937,0.8716362000000001
"D=1.5, white",eval_multi_D15_white,1.5,white,BuishandU,50,1.0,1.0,1.0,0.0087673,0.008541679000000002,0.0089897355,0.017380720000000002,0.0169327635,0.017817966999999997,2.2,1.34,3.16,0.501578,0.47699185,0.52727625,0.858516,0.84521795,0.8710741000000001
"D=1.5, white",eval_multi_D15_white,1.5,white,Nyblom,50,1.0,1.0,1.0,0.0087673,0.008540773,0.0089885605,0.017380720000000002,0.0169483595,0.0178118315,2.72,1.88,3.7,0.5029539999999999,0.476191,0.5290590000000001,0.860902,0.8479357499999998,0.87323
"D=1.5, white",eval_multi_D15_white,1.5,white,Pettitt,50,1.0,1.0,1.0,0.0087673,0.008542476,0.008989501,0.017380720000000002,0.016929481,0.0178186825,2.1,1.14,3.34,,,,,,
"D=1.5, white",eval_multi_D15_white,1.5,white,SNHT,50,1.0,1.0,1.0,0.0087673,0.008540558500000002,0.008993627,0.017380720000000002,0.0169373185,0.017819187000000004,1.0,0.64,1.4,,,,,,
"D=1.5, white",eval_multi_D15_white,1.5,white,Chow,50,0.98,0.94,1.0,0.00858712,0.008128211499999998,0.008937624,0.01702358,0.016100616499999998,0.017717781,1.1224489795918366,0.5714285714285714,1.8979591836734695,0.4976239999999999,0.47332569999999996,0.52221835,0.8592360000000001,0.8456098000000001,0.8724165500000001
